lesson,section,type,title,resource,url
w1d1,,slides,Slides Intro to AI Engineering:,,https://docs.google.com/presentation/d/1TsigMp5RSonWgSiehjOu8Bqfwc115I_f1DRFAK5OR-o/edit?usp=sharing
w1d1,,github,Unix Command Line Cheatsheet:,,https://gist.github.com/luisjunco/1e55df896eb6581a34682dde82de1638
w1d1,,github,VS Code Shortcuts:,,https://gist.github.com/luisjunco/2c57a9f514a5773242afe8f96b342cbd
w1d1,,github,Repo with the code from today:,,https://github.com/ironhack-ai-eng-june2026/demos_ai_eng
w1d1,recordings,recording,a - Intro from PMs:,,https://www.loom.com/share/549feb884e1a4f3c9844aab6a8cd5018
w1d1,recordings,recording,b - Intro from LT:,,https://www.loom.com/share/5dd02a9dd4f64a52a0b2da2507386226
w1d1,recordings,recording,c - Intro to AI Engineering:,,https://www.loom.com/share/33a9cf56663c4245ada5c58b4608a5c0
w1d1,recordings,recording,d - Python I:,,https://www.loom.com/share/717f012106b248f9a683001ced597ad5
w1d1,recordings,recording,e - Python II:,,https://www.loom.com/share/39e2d345d60b4bd1b3f954618aec2adf
w1d1,recordings,recording,f - Git intro + how to work in labs:,,https://www.loom.com/share/cc0733a08cc74b33bc695083c4eb00ec
w1d1,some python online editors,link,,,https://pyfiddle.net/
w1d1,some python online editors,link,,,https://playcode.io/python-template
w1d2,,github,Repo with the code from today (same as yesterday):,,https://github.com/ironhack-ai-eng-june2026/demos_ai_eng
w1d2,recordings,recording,"a - Python Functions I (intro + parameters, defaults parameters, positional and keyword params):",,https://www.loom.com/share/e11b5615e0224dffae4418f392ebb717
w1d2,recordings,recording,b - Functions II (Returns):,,https://www.loom.com/share/9263f3f321d64c5fa864776d75f94c5b
w1d2,recordings,recording,c - Python Functions III (Scope):,,https://www.loom.com/share/ba688557b07442d294c3ec9bd98497a8
w1d2,recordings,recording,d - Python Functions IV (lambda functions):,,https://www.loom.com/share/beb35ec5d63947a78312d1159ce1551c
w1d2,recordings,recording,e - Python List Comprehensions Explained:,,https://www.loom.com/share/01c021315ce94beda20ba78498af7c3d
w1d2,codewars: an excellent resource to practice programming,link,,,https://www.codewars.com
w1d3,,github,Repo with the code from today (same as yesterday):,,https://github.com/ironhack-ai-eng-june2026/demos_ai_eng
w1d3,recordings,recording,"a - Discussion on LLMs (how we can use them to learn, tips, etc) + Graduation requirements:",,https://www.loom.com/share/61911d42634a473b8fcc690bd6ccaea0
w1d3,recordings,recording,b - Python Error Handling:,,https://www.loom.com/share/7da7d326eb8d40b79a78bdd38ce595fa
w1d3,recordings,recording,"c - Activity Python functions (map, filter, reduce):",,https://www.loom.com/share/1ce1a4a713e34cfa90c9a607b175d400
w1d3,recordings,recording,"d - Python map(), filter(), reduce():",,https://www.loom.com/share/d5a9cc44a7ec42a79b11c7724c241e9b
w1d4,,github,Repo with the code from today (same as yesterday):,,https://github.com/ironhack-ai-eng-june2026/demos_ai_eng
w1d4,recordings,recording,"a - Intro to the underlying concepts of ML (Tensors, Linear Algebra, etc.):",,https://www.loom.com/share/c003aca7aad34eadbd44b5da9011e7e8
w1d4,recordings,recording,b - NumPy:,,https://www.loom.com/share/bf79fc62f4d64bb29110d8df3060d702
w1d4,recordings,recording,c - Pandas:,,https://www.loom.com/share/7d4870aa77a940a6a0237ee35988d3ad
w1d4,recordings,recording,d - Labs intro:,,https://www.loom.com/share/097b2489792049c2bbc35a110ff89257
w1d4,recordings,recording,"e - Descriptive Statistics (mean, mode, median, standard deviation, quartiles):",,https://www.loom.com/share/8c9fa8d0007e490f9db05d133841f91a
w1d4,recordings,recording,f - Bonus session - Python variables and the memory model:,,https://www.loom.com/share/ae50a7e357ce4920a78b91eadce466d4
w1d5,,github,Repo with the code from today (same as yesterday):,,https://github.com/ironhack-ai-eng-june2026/demos_ai_eng
w1d5,recordings,recording,a - Panda groupby:,,https://www.loom.com/share/f58a195e73da424c8ae694048689a7c1
w1d5,recordings,recording,b - Pandas concat + merge:,,https://www.loom.com/share/fa5a7359104e4f978530b8af4cb25fb6
w1d5,recordings,recording,c - AI Coding assistants I:,,https://www.loom.com/share/38c144a3f3e64eea81809dd372457498
w1d5,recordings,recording,d - Data Visualization:,,https://www.loom.com/share/2334d6a834ba465b8543a54c1076651e
w1d5,recordings,recording,"e - Agile, Scrum, retrospective:",,https://www.loom.com/share/c613dbe9a70d4996ac27707c3b16ef35
w1d5,recordings,recording,f - NotebookLM intro + labs intro:,,https://www.loom.com/share/866650d294a841ada8f9a5bfc2acc9de
w1d5,recordings,recording,g - bonus session - OOP:,,https://www.loom.com/share/9aa3002bdab04b0b8427ec555321faf7
w2d1,,slides,Slides - Intro to AI and Machine Learning:,,https://docs.google.com/presentation/d/1dMhtYwDRZQ8FfLM1t9gyjg5rJ0xNtewgv_-RvS7iPWs/edit?usp=sharing
w2d1,,github,Repo with the code from today (same as yesterday):,,https://github.com/ironhack-ai-eng-june2026/demos_ai_eng
w2d1,files,notebook,1_supervised_demo_i_linear_regression.ipynb,05_Machine_Learning/1_supervised_demo_i_linear_regression.ipynb,
w2d1,files,notebook,2_supervised_demo_iI_logistic_reg.ipynb,05_Machine_Learning/2_supervised_demo_iI_logistic_reg.ipynb,
w2d1,recordings,recording,a - Intro to AI and Machine Learning:,,https://www.loom.com/share/82e88b325874425f80bc108b41fbd885
w2d1,recordings,recording,"b - ML demo I - Linear Regression (train-test split, train a model, overfitting...):",,https://www.loom.com/share/c4e08646207b450394450aabf7c42d1d
w2d1,recordings,recording,c - ML demo II (Logistic Regression):,,https://www.loom.com/share/a44f97419e804317b07738b716bf1aee
w2d1,recordings,recording,d - Labs intro:,,https://www.loom.com/share/179705525eba472daa45912cf420c2a7
w2d2,,github,Repo with the code from today:,,https://github.com/ironhack-ai-eng-june2026/demos_ai_eng
w2d2,metrics,notebook,3_supervised_metrics_regression.ipynb,05_Machine_Learning/3_supervised_metrics_regression.ipynb,
w2d2,metrics,notebook,4_supervised_metrics_classification.ipynb,05_Machine_Learning/4_supervised_metrics_classification.ipynb,
w2d2,algorithms,notebook,5_supervised_algorithms_regression.ipynb,05_Machine_Learning/5_supervised_algorithms_regression.ipynb,
w2d2,algorithms,notebook,6_supervised_algorithms_classification.ipynb,05_Machine_Learning/6_supervised_algorithms_classification.ipynb,
w2d2,recordings,recording,a - Day intro + week planning:,,https://www.loom.com/share/633b7ba2c7594f259f8f51880968a257
w2d2,recordings,recording,"b - Regression Metrics (MAE, MSE, RMSE, R2):",,https://www.loom.com/share/6ab711dc70364bdaacd53e8c2a4c8743
w2d2,recordings,recording,"c - Classification Metrics (Confusion Matrix, Accuracy, Precision, Recall...):",,https://www.loom.com/share/40067a5fd6f04e448b117f96dcdd2c69
w2d2,recordings,recording,d - ML Algorithms Classification:,,https://www.loom.com/share/2fada4284b5b4ffcb0e50a587e0acd70
w2d2,recordings,recording,e - ML Algorithms Regression + labs intro:,,https://www.loom.com/share/9b611991946240f28b21c3afb476b9f3
w2d3,,github,:pushpin: (Cheatsheet) The Supervised Learning Workflow: Beginner-friendly End-to-End Playbook:,,https://github.com/luisjunco/The-Supervised-Learning-Workflow--Beginner-friendlyEnd-to-End-Playbook
w2d3,,link,Some rules of thumb on the minimum data to train a classic ML model:,,https://chatgpt.com/share/6a3baaa1-fbf4-83ed-9d90-b293d5825e80
w2d3,,github,Repo with the code from today:,,https://github.com/ironhack-ai-eng-june2026/demos_ai_eng
w2d3,,notebook,7_supervised_end_to_end_demo.ipynb,05_Machine_Learning/7_supervised_end_to_end_demo.ipynb,
w2d3,recordings,recording,a - Day intro (discuss metrics and overfitting + repos we'll use today + git concepts):,,https://www.loom.com/share/57751f3c74f844d68707b981b3c0a6b5
w2d3,recordings,recording,b - End to End Supervised Learning Workflow :pushpin::,,https://www.loom.com/share/e393640d4b164c01b8ce2b9f7519da6d
w2d3,recordings,recording,c - I (problem definition + load data + EDA):,,https://www.loom.com/share/9d8e992977de49ea819fd31973c1be52
w2d3,recordings,recording,d - II (data splitting):,,https://www.loom.com/share/39e4c950211f47be897a2c4096329910
w2d3,recordings,recording,e - III (data cleaning + baseline model + feature engineering + feature selection):,,https://www.loom.com/share/e423efd912814342a0ae46bcaab4ed98
w2d3,recordings,recording,"f - IV (class imbalance, train and compare, hyperparameter tuning, final evaluation):",,https://www.loom.com/share/a7e22e1d702a4f04bb987d5f65009268
w2d4,,github,Repo with the code from today:,,https://github.com/ironhack-ai-eng-june2026/demos_ai_eng
