notebook,lesson,confidence,votes,avg_distance,status
14_LangChain/13_multi-modal-rag.ipynb,w8d1,1.0,10,0.426,MAIN
11_LLM_APIs/6_prompt_injection_example.ipynb,w5d3,1.0,10,0.474,MAIN
14_LangChain/12_clip-text-image-search.ipynb,w8d1,1.0,10,0.52,MAIN
01_python/bonus_python_variables_and_memory_model.ipynb,w1d4,1.0,10,0.539,MAIN
01_python/4_comprehensions.ipynb,w1d2,1.0,10,0.55,MAIN
05_Machine_Learning/3_supervised_metrics_regression.ipynb,w2d2,1.0,10,0.555,MAIN
14_LangChain/14_extra-multi-modal-rag-chroma.ipynb,w8d1,1.0,10,0.56,MAIN
11_LLM_APIs/1_whats_an_api.ipynb,w5d2,1.0,10,0.561,MAIN
06_Machine_Learning_Unsupervised/2_dimensionality_reduction.ipynb,w2d4,1.0,10,0.567,MAIN
03_pandas/3_3_pandas_combining_dataframes.ipynb,w1d5,1.0,10,0.581,MAIN
07_Deep_Learning/4. Deep_Learning_demo_ii_CNNs.ipynb,w3d2,1.0,10,0.59,MAIN
01_python/5_error_handling.ipynb,w1d3,1.0,10,0.612,MAIN
14_LangChain/6_extra-generative-agents-in-langchain.ipynb,w7d3,1.0,10,0.614,MAIN
01_python/bonus_python_oop.ipynb,w1d5,1.0,10,0.615,MAIN
09_Embeddings/1_Embeddings_Intro.ipynb,w4d3,1.0,10,0.625,MAIN
05_Machine_Learning/4_supervised_metrics_classification.ipynb,w2d2,1.0,10,0.634,MAIN
05_Machine_Learning/1_supervised_demo_i_linear_regression.ipynb,w2d1,1.0,10,0.637,MAIN
08_NLP/NLP_1.ipynb,w4d2,1.0,10,0.651,MAIN
07_Deep_Learning/1. Deep_Learning_demo_i.ipynb,w3d1,1.0,10,0.654,MAIN
03_pandas/3_2_pandas_groupby.ipynb,w1d5,1.0,10,0.672,MAIN
03_pandas/3_1_pandas_intro.ipynb,w1d4,1.0,10,0.681,MAIN
04_data_viz/4_1_data_viz.ipynb,w1d5,1.0,10,0.687,MAIN
02_numpy/2_1_numpy_intro.ipynb,w1d4,1.0,10,0.696,MAIN
01_python/6_map-filter-reduce.ipynb,w1d3,1.0,10,0.702,MAIN
01_python/3_functions.ipynb,w1d2,1.0,10,0.733,MAIN
10_SQL/3_Demo_SQLite_and_Python.ipynb,w5d1,1.0,10,0.768,MAIN
01_python/7_regex.ipynb,w4d1,1.0,10,0.803,MAIN
15_Evaluation/1_bleu-evaluation.ipynb,w8d2,1.0,10,0.831,MAIN
01_python/1_intro_to_python.ipynb,w1d1,1.0,10,0.857,MAIN
14_LangChain/3_langchain-RAG.ipynb,w7d2,0.9,9,0.473,MAIN
12_Model_Optimization/1_quantization.ipynb,w5d4,0.9,9,0.537,MAIN
11_LLM_APIs/7_tool_calling.ipynb,w5d3,0.9,9,0.565,MAIN
13_Transfer_Learning/1_transfer_learning.ipynb,w5d5,0.9,9,0.577,MAIN
09_Embeddings/2_Embeddings_Demo.ipynb,w4d3,0.9,9,0.658,MAIN
05_Machine_Learning/6_supervised_algorithms_classification.ipynb,w2d2,0.9,9,0.796,MAIN
14_LangChain/9_langchain-streaming.ipynb,w7d4,0.8,8,0.422,REVIEW
14_LangChain/8_langchain-agents.ipynb,w7d3,0.8,8,0.66,REVIEW
08_NLP/NLP_4.ipynb,w4d2,0.8,8,0.751,REVIEW
07_Deep_Learning/3. Computer Vision Intro.ipynb,w3d2,0.8,8,0.767,REVIEW
